date,region_level,region,variable,value,source
2020-03-16,hospital_district,Helsinki and Uusimaa Hospital District,cases,389.0,THL
2020-03-16,hospital_district,Itä-Savo Hospital District,cases,1.0,THL
2020-03-16,hospital_district,Kainuu Hospital District,cases,3.0,THL
2020-03-16,hospital_district,Kanta-Häme Hospital District,cases,6.0,THL
2020-03-16,hospital_district,Kymenlaakso Hospital District,cases,7.0,THL
2020-03-16,hospital_district,Lappi Hospital District,cases,0.0,THL
2020-03-16,hospital_district,Länsi-Pohja Hospital District,cases,4.0,THL
2020-03-16,hospital_district,North Karelia Hospital District,cases,4.0,THL
2020-03-16,hospital_district,North Ostrobothnia Hospital District,cases,12.0,THL
2020-03-16,hospital_district,North Savo Hospital District,cases,15.0,THL
2020-03-16,hospital_district,Pirkanmaa Hospital District,cases,38.0,THL
2020-03-16,hospital_district,Päijät-Häme Hospital District,cases,12.0,THL
2020-03-16,hospital_district,Satakunta Hospital District,cases,7.0,THL
2020-03-16,hospital_district,South Karelia Hospital District,cases,5.0,THL
2020-03-16,hospital_district,South Ostrobothnia Hospital District,cases,2.0,THL
2020-03-16,hospital_district,South Savo Hospital District,cases,6.0,THL
2020-03-16,hospital_district,Southwest Finland Hospital District,cases,28.0,THL
2020-03-16,hospital_district,Vaasa Hospital District,cases,10.0,THL
2020-03-16,hospital_district,Åland,cases,5.0,THL
2020-03-23,hospital_district,All areas,cases,683.0,THL
2020-03-23,hospital_district,Central Finland Hospital District,cases,38.0,THL
2020-03-23,hospital_district,Central Ostrobothnia Hospital District,cases,1.0,THL
2020-03-23,hospital_district,Helsinki and Uusimaa Hospital District,cases,371.0,THL
2020-03-23,hospital_district,Itä-Savo Hospital District,cases,2.0,THL
2020-03-23,hospital_district,Kainuu Hospital District,cases,12.0,THL
2020-03-23,hospital_district,Kanta-Häme Hospital District,cases,13.0,THL
2020-03-23,hospital_district,Kymenlaakso Hospital District,cases,6.0,THL
2020-03-23,hospital_district,Lappi Hospital District,cases,25.0,THL
2020-03-23,hospital_district,Länsi-Pohja Hospital District,cases,2.0,THL
2020-03-23,hospital_district,North Karelia Hospital District,cases,5.0,THL
2020-03-23,hospital_district,North Ostrobothnia Hospital District,cases,24.0,THL
2020-03-23,hospital_district,North Savo Hospital District,cases,26.0,THL
2020-03-23,hospital_district,Pirkanmaa Hospital District,cases,58.0,THL
2020-03-23,hospital_district,Päijät-Häme Hospital District,cases,20.0,THL
2020-03-23,hospital_district,Satakunta Hospital District,cases,12.0,THL
2020-03-23,hospital_district,South Karelia Hospital District,cases,1.0,THL
2020-03-23,hospital_district,South Ostrobothnia Hospital District,cases,8.0,THL
2020-03-23,hospital_district,South Savo Hospital District,cases,16.0,THL
2020-03-23,hospital_district,Southwest Finland Hospital District,cases,33.0,THL
2020-03-23,hospital_district,Vaasa Hospital District,cases,8.0,THL
2020-03-23,hospital_district,Åland,cases,2.0,THL
2020-03-30,hospital_district,All areas,cases,1044.0,THL
2020-03-30,hospital_district,Central Finland Hospital District,cases,26.0,THL
2020-03-30,hospital_district,Central Ostrobothnia Hospital District,cases,6.0,THL
2020-03-30,hospital_district,Helsinki and Uusimaa Hospital District,cases,697.0,THL
2020-03-30,hospital_district,Itä-Savo Hospital District,cases,6.0,THL
2020-03-30,hospital_district,Kainuu Hospital District,cases,20.0,THL
2020-03-30,hospital_district,Kanta-Häme Hospital District,cases,24.0,THL
2020-03-30,hospital_district,Kymenlaakso Hospital District,cases,11.0,THL
2020-03-30,hospital_district,Lappi Hospital District,cases,15.0,THL
2020-03-30,hospital_district,Länsi-Pohja Hospital District,cases,25.0,THL
2020-03-30,hospital_district,North Karelia Hospital District,cases,3.0,THL
2020-03-30,hospital_district,North Ostrobothnia Hospital District,cases,26.0,THL
2020-03-30,hospital_district,North Savo Hospital District,cases,35.0,THL
2020-03-30,hospital_district,Pirkanmaa Hospital District,cases,44.0,THL
2020-03-30,hospital_district,Päijät-Häme Hospital District,cases,14.0,THL
2020-03-30,hospital_district,Satakunta Hospital District,cases,7.0,THL
2020-03-30,hospital_district,South Karelia Hospital District,cases,2.0,THL
2020-03-30,hospital_district,South Ostrobothnia Hospital District,cases,12.0,THL
2020-03-30,hospital_district,South Savo Hospital District,cases,6.0,THL
2020-03-30,hospital_district,Southwest Finland Hospital District,cases,52.0,THL
2020-03-30,hospital_district,Vaasa Hospital District,cases,12.0,THL
2020-03-30,hospital_district,Åland,cases,1.0,THL
2020-04-06,hospital_district,All areas,cases,840.0,THL
2020-04-06,hospital_district,Central Finland Hospital District,cases,15.0,THL
2020-04-06,hospital_district,Central Ostrobothnia Hospital District,cases,3.0,THL
2020-04-06,hospital_district,Helsinki and Uusimaa Hospital District,cases,580.0,THL
2020-04-06,hospital_district,Itä-Savo Hospital District,cases,1.0,THL
2020-04-06,hospital_district,Kainuu Hospital District,cases,8.0,THL
2020-04-06,hospital_district,Kanta-Häme Hospital District,cases,8.0,THL
2020-04-06,hospital_district,Kymenlaakso Hospital District,cases,4.0,THL
2020-04-06,hospital_district,Lappi Hospital District,cases,21.0,THL
2020-04-06,hospital_district,Länsi-Pohja Hospital District,cases,29.0,THL
2020-04-06,hospital_district,North Karelia Hospital District,cases,5.0,THL
2020-04-06,hospital_district,North Ostrobothnia Hospital District,cases,12.0,THL
2020-04-06,hospital_district,North Savo Hospital District,cases,31.0,THL
2020-04-06,hospital_district,Pirkanmaa Hospital District,cases,21.0,THL
2020-04-06,hospital_district,Päijät-Häme Hospital District,cases,12.0,THL
2020-04-06,hospital_district,Satakunta Hospital District,cases,7.0,THL
2020-04-06,hospital_district,South Karelia Hospital District,cases,3.0,THL
2020-04-06,hospital_district,South Ostrobothnia Hospital District,cases,6.0,THL
2020-04-06,hospital_district,South Savo Hospital District,cases,10.0,THL
